date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:10:56	31080/31080	---M--	200	added ('OK')	font/woff2	etag:W/%227968-197cf256d50%22	https://ok-ex.io/_nuxt/fonts/YekanBakh-ExtraBlack.aef2386.woff2	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/fonts/YekanBakh-ExtraBlack.aef2386.woff2	(from https://ok-ex.io/trade/BTC_USDT)
01:10:58	38716/38716	---M--	200	added ('OK')	font/woff	etag:W/%22973c-197cf256d50%22	https://ok-ex.io/_nuxt/fonts/YekanBakh-ExtraBlack.8fdd7aa.woff	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/fonts/YekanBakh-ExtraBlack.8fdd7aa.woff	(from https://ok-ex.io/trade/BTC_USDT)
01:11:00	42724/42724	---M--	200	added ('OK')	font/woff2	etag:W/%22a6e4-197cf256d50%22	https://ok-ex.io/_nuxt/fonts/Pinar-Light.ce670fb.woff2	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/fonts/Pinar-Light.ce670fb.woff2	(from https://ok-ex.io/trade/BTC_USDT)
01:11:01	44248/44248	---M--	200	added ('OK')	font/woff2	etag:W/%22acd8-197cf256d50%22	https://ok-ex.io/_nuxt/fonts/Pinar-Regular.cb1d3e3.woff2	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/fonts/Pinar-Regular.cb1d3e3.woff2	(from https://ok-ex.io/trade/BTC_USDT)
01:11:02	44356/44356	---M--	200	added ('OK')	font/woff2	etag:W/%22ad44-197cf256d50%22	https://ok-ex.io/_nuxt/fonts/Pinar-Medium.ad08d38.woff2	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/fonts/Pinar-Medium.ad08d38.woff2	(from https://ok-ex.io/trade/BTC_USDT)
01:11:03	44272/44272	---M--	200	added ('OK')	font/woff2	etag:W/%22acf0-197cf256d50%22	https://ok-ex.io/_nuxt/fonts/Pinar-SemiBold.2e51f71.woff2	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/fonts/Pinar-SemiBold.2e51f71.woff2	(from https://ok-ex.io/trade/BTC_USDT)
01:11:04	44296/44296	---M--	200	added ('OK')	font/woff2	etag:W/%22ad08-197cf256d50%22	https://ok-ex.io/_nuxt/fonts/Pinar-Bold.80ed1d7.woff2	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/fonts/Pinar-Bold.80ed1d7.woff2	(from https://ok-ex.io/trade/BTC_USDT)
01:11:05	44200/44200	---M--	200	added ('OK')	font/woff2	etag:W/%22aca8-197cf256d50%22	https://ok-ex.io/_nuxt/fonts/Pinar-ExtraBold.f1776cf.woff2	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/fonts/Pinar-ExtraBold.f1776cf.woff2	(from https://ok-ex.io/trade/BTC_USDT)
01:11:06	42400/42400	---M--	200	added ('OK')	font/woff2	etag:W/%22a5a0-197cf256d50%22	https://ok-ex.io/_nuxt/fonts/Pinar-Black.c4627c2.woff2	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/fonts/Pinar-Black.c4627c2.woff2	(from https://ok-ex.io/trade/BTC_USDT)
01:11:06	67904/67904	---M--	200	added ('OK')	font/woff2	etag:W/%2210940-197cf256d50%22	https://ok-ex.io/_nuxt/fonts/Tajrid-Light.94e4f74.woff2	C:/Users/Amir/Desktop/ok-ex.io/ok-ex.io/_nuxt/fonts/Tajrid-Light.94e4f74.woff2	(from https://ok-ex.io/trade/BTC_USDT)
